36
1,2,500,15/10/20, 2
1,2,3000,31/10/2020,3
3,1,599,31/10/2020
1,0,5000,31/10/2020
1,0,500,31/10/2020
1,0,500,31/10/2020
1,0,1000,31/10/2020
1,1,20,31/10/2020
1,2,5000,31/10/2020,3
1,0,10000,1/11/2020
1,1,19990,1/11/2020
1,0,20000,1/11/2020
1,1,1000,1/11/2020
1,1,3,1/11/2020
1,1,700,1/11/2020
1,1,10000,1/11/2020
1,1,44,1/11/2020
1,0,20000,1/11/2020
1,0,5,1/11/2020
1,0,5,1/11/2020
1,0,10000,1/11/2020
1,0,2000,1/11/2020
1,0,500,1/11/2020
1,0,500,1/11/2020
1,0,1000,1/11/2020
1,0,500,1/11/2020
1,0,500,1/11/2020
3,0,1000,1/11/2020
3,0,500,1/11/2020
1,0,500,1/11/2020
1,0,2000,1/11/2020
1,0,15000,1/11/2020
1,0,2999,1/11/2020
3,0,1000,1/11/2020
3,0,1200,1/11/2020
3,0,2000,1/11/2020
